date,year,month,ngd,t,log_ngd,month_sin,month_cos,is_winter,lag1_log,lag12_log,lag1,lag12,roll3_log,roll12_log,roll3,roll12
2021-01-01,2021,1,2657,61,7.884952945759814,0.49999999999999994,0.8660254037844387,1,7.749753406274437,7.99799931797973,2321.0,2975.0,6.917417193939353,6.757628712759787,1286.6666666666667,1288.5833333333333
2021-02-01,2021,2,2709,62,7.904334842085095,0.8660254037844386,0.5000000000000001,1,7.884952945759814,7.923710333969238,2657.0,2762.0,7.562187324996715,6.74820818174146,2044.3333333333333,1262.0833333333333
2021-03-01,2021,3,2832,63,7.94873845481361,1.0,6.123233995736766e-17,1,7.904334842085095,7.683403681053826,2709.0,2172.0,7.846347064706449,6.746593557417781,2562.3333333333335,1257.6666666666667
2021-04-01,2021,4,1920,64,7.560080465021827,0.8660254037844387,-0.49999999999999983,0,7.94873845481361,7.44716835960004,2832.0,1715.0,7.912675414219507,6.768704788564431,2732.6666666666665,1312.6666666666667
2021-05-01,2021,5,726,65,6.587550014824796,0.49999999999999994,-0.8660254037844387,0,7.560080465021827,6.725033642166843,1920.0,833.0,7.804384587306845,6.778114130682913,2487.0,1329.75
2021-06-01,2021,6,353,66,5.8664680569332965,1.2246467991473532e-16,-1.0,0,6.587550014824796,5.940171252720432,726.0,380.0,7.3654563115534115,6.766657161737741,1826.0,1320.8333333333333
2021-07-01,2021,7,230,67,5.438079308923196,-0.4999999999999998,-0.8660254037844388,0,5.8664680569332965,5.484796933490655,353.0,241.0,6.67136617892664,6.76051522875548,999.6666666666666,1318.5833333333333
2021-08-01,2021,8,302,68,5.71042701737487,-0.8660254037844384,-0.5000000000000004,0,5.438079308923196,5.627621113690637,230.0,278.0,5.964032460227096,6.756622093374858,436.3333333333333,1317.6666666666667
2021-09-01,2021,9,305,69,5.720311776607412,-1.0,-1.8369701987210297e-16,0,5.71042701737487,5.5093883366279774,302.0,247.0,5.671658127743787,6.763522585348544,295.0,1319.6666666666667
2021-10-01,2021,10,505,70,6.22455842927536,-0.8660254037844386,0.5000000000000001,0,5.720311776607412,5.950642552587727,305.0,384.0,5.622939367635159,6.781099538680164,279.0,1324.5
2021-11-01,2021,11,1235,71,7.118826249062078,-0.5000000000000004,0.8660254037844384,1,6.22455842927536,7.051855622955894,505.0,1155.0,5.885099074419213,6.803925861737468,370.6666666666667,1334.5833333333333
2021-12-01,2021,12,2259,72,7.7226775164680035,-2.4492935982947064e-16,1.0,1,7.118826249062078,7.749753406274437,1235.0,2321.0,6.354565484981617,6.809506747246316,681.6666666666666,1341.25
2022-01-01,2022,1,3286,73,8.097426298597213,0.49999999999999994,0.8660254037844387,1,7.7226775164680035,7.884952945759814,2259.0,2657.0,7.022020731601813,6.8072504230957795,1333.0,1336.0833333333333
2022-02-01,2022,2,3514,74,8.164510268747042,0.8660254037844386,0.5000000000000001,1,8.097426298597213,7.904334842085095,3286.0,2709.0,7.646310021375765,6.8249565358322295,2260.0,1388.5
2022-03-01,2022,3,3217,75,8.076204527239026,1.0,6.123233995736766e-17,1,8.164510268747042,7.94873845481361,3514.0,2832.0,7.994871361270754,6.846637821387392,3019.6666666666665,1455.5833333333333
